key,value
-o,2771461
-i,1646119
-a,1476829
la,1131201
de,538726
-e,526646
kaj,405750
en,270669
est-,259880
al,175182
mi,149268
-ig-,146393
ne,141823
mal-,135144
kiu,130081
-iĝ-,128497
-ant-,124855
li,121481
-it-,121218
por,112062
ke,111441
-ad-,100143
pri,92462
tiu,90918
-ist-,76706
sed,74336
vi,72740
ili,72719
si-,71470
ĝi,67035
kun,66680
-ec-,60118
kiel,59181
ni,56211
esperant-,56162
el,55851
tio,55670
-ul-,55605
pov-,50783
-o-,50543
-aĵ-,50092
pli,49601
-in-,48145
-ar-,46600
oni,46296
-at-,45110
ŝi,43419
far-,41814
per,40944
ali-,40540
ĉiu,40224
dir-,39931
re-,37686
aŭ,37631
hav-,36534
jar-,36411
-i-,35991
mi-,35532
sur,35458
nur,35275
inter-,35148
ankaŭ,34969
-int-,34551
lingv-,34239
tut-,34157
da,33852
el-,33454
-ej-,32381
bon-,31287
al-,30736
-an-,30391
en-,30320
mult-,30174
ek-,29917
ĉu,29811
hom-,29616
se,29536
li-,29393
sen-,29113
dum,29069
unu-,28958
kiam,28706
ĉi,28663
-ebl-,28375
dev-,28289
ĉar,28193
unu,27514
plej,27333
grand-,26796
si,25990
kio,25881
pro,25086
ni-,24644
land-,24142
kun-,24132
okaz-,24025
ne-,23589
post,23578
nov-,23344
sam-,23342
-et-,23061
ebl-,22980
a,22887
ol,22731
ĉe,22487
jam,22416
-ir-,22251
nun,22008
vid-,21951
tiel,21865
vi-,21849
inter,21804
eĉ,21760
labor-,21751
for-,21741
tre,20887
-il-,20641
-ven-,20169
viv-,20043
laŭ,19923
-don-,19679
part-,19335
sci-,19082
mond-,18978
tamen,18970
du-,18707
kelk-,18294
fin-,18136
-eg-,18121
du,18094
antaŭ,17922
ven-,17893
trov-,17846
nom-,17781
parol-,17232
ĝis,16852
vol-,16646
tie,16528
do,16474
ver-,16389
-naci-,16073
post-,15945
-um-,15818
ĉef-,15722
-ism-,15665
de-,15301
komenc-,15183
sub-,15045
-r-,14988
s-,14717
respond-,14671
kontraŭ,14611
antaŭ-,14521
vort-,14495
ili-,14413
ĝi-,14404
eŭrop-,14288
tia,14264
urb-,14082
mem,14027
tag-,13955
-land-,13922
vir-,13858
je,13817
demand-,13699
dis-,13693
jun-,13676
don-,13673
-pren-,13669
reg-,13576
mort-,13573
uz-,13545
uson-,13333
kie,13198
plen-,13090
ankoraŭ,13057
iu,13046
politik-,12998
kompren-,12949
afer-,12882
-ind-,12842
rest-,12749
temp-,12710
grav-,12705
tiam,12680
pli-,12592
-temp-,12491
lern-,12255
ja,12251
aper-,12142
-em-,12140
lok-,12111
ag-,12028
sekv-,11968
ir-,11856
kongres-,11794
pens-,11729
cert-,11564
tem-,11541
organiz-,11410
verk-,11397
-uj-,11372
franc-,11360
fort-,11339
iom,11156
loĝ-,11021
ĉio,10946
naci-,10924
daŭr-,10852
pri-,10833
cel-,10731
ricev-,10698
publik-,10695
patr-,10677
sen,10672
montr-,10611
kon-,10592
rigard-,10537
libr-,10509
divers-,10497
star-,10472
ŝtat-,10457
-ten-,10376
trans-,10273
ŝi-,10257
alt-,10216
prezent-,10167
long-,10124
-a-,10082
ĉiam,10046
prezid-,10042
ekzist-,10038
klar-,9942
elekt-,9917
uea,9904
jen,9857
di-,9848
popol-,9832
sinjor-,9787
ŝajn-,9697
milit-,9666
decid-,9607
help-,9582
person-,9487
inform-,9464
infan-,9382
last-,9321
-nov-,9286
leg-,9270
bel-,9219
soci-,9161
man-,9016
interes-,8988
sent-,8976
ekster-,8963
rilat-,8803
sukces-,8790
etern-,8786
instru-,8775
komun-,8739
mov-,8671
-labor-,8615
ekzempl-,8597
liber-,8591
dom-,8585
neces-,8573
fil-,8536
neniu,8453
membr-,8359
kultur-,8337
-foj-,8274
-bon-,8225
oft-,8207
plu,8183
-jar-,8154
sub,8142
serv-,8050
kontraŭ-,8013
-ont-,7948
voĉ-,7928
kred-,7923
rus-,7921
reĝ-,7911
tri,7902
am-,7836
io,7832
akcept-,7815
mon-,7807
ekonomi-,7806
rajt-,7792
ret-,7758
dezir-,7752
histori-,7725
plur-,7683
tuj,7658
propon-,7559
kies,7502
german-,7501
sufiĉ-,7484
kre-,7387
-mult-,7386
tri-,7368
amik-,7367
pas-,7308
skrib-,7283
ĉiu-,7276
sol-,7229
neniam,7218
aŭd-,7212
ĉin-,7206
ŝanĝ-,7160
fakt-,7152
kvankam,7129
nek,7126
ĝeneral-,7120
bezon-,7116
preskaŭ,7115
okul-,7110
gvid-,7109
rapid-,7096
propr-,7063
edz-,7048
-grand-,7013
nun-,6984
opini-,6961
pet-,6925
kvazaŭ,6916
ating-,6894
-n-,6835
apart-,6829
foj-,6757
-vid-,6750
ide-,6725
grup-,6665
-lingv-,6663
-pli,6656
ter-,6650
tra,6582
tim-,6580
tro,6577
kresk-,6561
proksim-,6550
ia,6532
-e-,6522
-on-,6456
traduk-,6433
angl-,6418
kor-,6416
ĝust-,6415
konstru-,6361
-de,6347
-fort-,6342
-ferm-,6335
ge-,6325
memor-,6321
voj-,6283
jes,6268
sid-,6214
-est-,6205
nenio,6202
kial,6186
rakont-,6163
real-,6149
asoci-,6075
tial,6071
monat-,6056
tiom,6042
simil-,6032
aktiv-,5996
send-,5981
esper-,5950
program-,5941
e-,5937
form-,5925
lig-,5925
vizit-,5913
parti-,5883
pren-,5860
lud-,5842
problem-,5840
kap-,5755
facil-,5747
-port-,5747
financ-,5739
simpl-,5715
renkont-,5707
moment-,5691
postul-,5682
prov-,5669
atend-,5653
region-,5646
estr-,5619
mez-,5619
projekt-,5601
kamp-,5598
-dek,5595
produkt-,5566
super-,5550
sur-,5549
-hav-,5546
lev-,5545
centr-,5521
signif-,5514
kia,5496
konsider-,5482
nask-,5478
-skrib-,5459
-long-,5452
